Window_Index,Min_Probability,Max_Probability,Avg_Probability
409,46.400000000000006,100.0,85.29333333333331
410,58.599999999999994,100.0,85.97333333333333
411,58.8,100.0,86.72000000000001
412,58.599999999999994,100.0,86.38666666666667
413,57.8,100.0,85.94666666666666
414,56.2,100.0,85.36
415,52.0,100.0,84.28
416,50.2,100.0,83.78666666666668
417,49.6,100.0,83.21333333333332
418,48.4,100.0,82.53333333333333
419,45.4,100.0,81.67999999999999
420,43.2,100.0,80.89333333333333
421,36.6,100.0,79.49333333333333
422,29.599999999999998,100.0,78.41333333333334
423,26.0,100.0,77.69333333333334
424,25.0,100.0,76.21333333333332
425,24.0,100.0,75.09333333333335
426,21.8,100.0,74.24000000000001
427,21.0,100.0,72.96000000000001
428,20.599999999999998,100.0,71.86666666666667
429,20.4,100.0,70.24000000000002
430,22.2,100.0,71.92
431,21.8,100.0,72.33333333333333
432,21.4,100.0,71.94666666666669
433,21.6,100.0,71.89333333333333
434,21.0,100.0,71.49333333333334
435,18.6,100.0,70.81333333333333
436,16.400000000000002,100.0,69.68
437,14.6,100.0,68.22666666666667
438,14.799999999999999,100.0,67.96
439,14.399999999999999,100.0,67.10666666666667
440,12.8,100.0,66.69333333333333
441,11.799999999999999,100.0,65.98666666666666
442,11.600000000000001,100.0,64.96000000000001
443,11.0,100.0,64.45333333333333
444,10.4,100.0,63.89333333333334
445,10.0,100.0,63.12
446,9.4,100.0,62.24000000000001
447,9.2,100.0,61.33333333333333
448,8.6,100.0,60.09333333333334
449,7.8,99.8,58.97333333333334
450,7.6,99.8,58.38666666666666
451,8.4,99.8,57.57333333333333
452,8.799999999999999,99.6,56.57333333333333
453,8.799999999999999,99.6,55.42666666666667
454,9.2,99.6,54.76
455,9.4,99.6,53.626666666666665
456,9.4,99.6,53.04
457,6.800000000000001,99.6,51.88
458,4.3999999999999995,99.6,51.66666666666667
459,1.2,99.6,51.66666666666666
460,1.0,99.6,51.239999999999995
461,1.0,99.6,50.933333333333344
462,0.0,99.4,50.25333333333333
463,0.0,99.0,49.29333333333334
464,0.0,98.4,48.21333333333334
465,0.0,98.6,47.586666666666666
466,0.0,98.6,47.03999999999999
467,0.0,98.4,46.093333333333334
468,0.0,97.6,44.906666666666666
469,0.0,97.2,44.160000000000004
470,0.0,97.0,43.4
471,0.0,96.8,42.56
472,0.0,95.39999999999999,40.50666666666667
473,0.0,93.4,39.346666666666664
474,0.0,91.60000000000001,38.053333333333335
475,0.0,90.60000000000001,36.413333333333334
476,0.0,88.8,34.46666666666666
477,0.0,87.4,32.77333333333334
478,0.0,84.6,31.08000000000001
479,0.0,82.39999999999999,29.666666666666664
480,0.0,71.8,26.613333333333333
481,0.0,61.0,23.866666666666667
482,0.0,43.2,19.613333333333333
483,0.0,41.8,16.34666666666667
484,0.0,40.6,13.826666666666664
485,0.0,39.4,11.773333333333333
486,0.0,38.2,10.16
487,0.0,37.0,9.213333333333335
488,0.0,36.4,7.693333333333334
489,0.0,36.8,6.32
490,0.0,35.6,5.2266666666666675
491,0.0,35.199999999999996,4.7733333333333325
492,0.0,34.2,4.44
493,0.0,32.2,3.9733333333333336
494,0.0,28.999999999999996,3.6133333333333337
495,0.0,26.400000000000002,3.2933333333333334
496,0.0,25.2,3.0933333333333333
497,0.0,24.6,2.8133333333333335
498,0.0,22.2,2.5733333333333333
499,0.0,20.4,2.3866666666666663
500,0.0,16.8,2.0933333333333337
501,0.0,13.200000000000001,1.8533333333333335
502,0.0,11.799999999999999,1.8000000000000003
503,0.0,9.2,1.5733333333333335
504,0.0,7.000000000000001,1.1733333333333336
505,0.0,7.000000000000001,0.9466666666666669
506,0.0,6.6000000000000005,0.9066666666666667
507,0.0,6.4,0.8533333333333334
508,0.0,6.2,0.8533333333333334
509,0.0,6.2,0.8133333333333332
510,0.0,6.2,0.8
511,0.0,6.6000000000000005,0.7866666666666666
512,0.0,6.4,0.7466666666666667
513,0.0,6.4,0.7333333333333333
514,0.0,6.4,0.7066666666666668
515,0.0,6.2,0.68
516,0.0,6.2,0.68
517,0.0,6.2,0.6666666666666667
518,0.0,6.2,0.6666666666666667
519,0.0,6.4,0.6666666666666667
520,0.0,6.2,0.6533333333333333
521,0.0,6.2,0.6533333333333333
522,0.0,5.800000000000001,0.6266666666666667
523,0.0,5.800000000000001,0.5866666666666667
524,0.0,5.800000000000001,0.5866666666666667
525,0.0,6.0,0.6
526,0.0,6.2,0.6533333333333333
527,0.0,6.2,0.6533333333333333
528,0.0,6.0,0.6133333333333334
529,0.0,6.2,0.6933333333333334
530,0.0,6.4,0.7066666666666668
531,0.0,6.2,0.68
532,0.0,6.2,0.68
533,0.0,6.0,0.68
534,0.0,6.0,0.6666666666666667
535,0.0,6.0,0.68
536,0.0,5.800000000000001,0.6666666666666667
537,0.0,5.6000000000000005,0.6533333333333333
538,0.0,4.8,0.6
539,0.0,4.8,0.6
540,0.0,4.8,0.6
541,0.0,4.8,0.6
542,0.0,4.8,0.6
543,0.0,4.8,0.5733333333333333
544,0.0,4.8,0.5733333333333333
545,0.0,5.0,0.5599999999999999
546,0.0,5.0,0.5599999999999999
547,0.0,4.8,0.5466666666666666
548,0.0,4.8,0.5466666666666666
549,0.0,4.8,0.5466666666666666
550,0.0,4.6,0.5466666666666665
551,0.0,4.6,0.5466666666666665
552,0.0,4.6,0.5466666666666665
553,0.0,4.6,0.5466666666666665
554,0.0,4.6,0.5466666666666665
555,0.0,4.6,0.5333333333333333
556,0.0,4.6,0.5333333333333333
557,0.0,4.6,0.5333333333333333
558,0.0,4.3999999999999995,0.52
559,0.0,4.2,0.5066666666666667
560,0.0,3.4000000000000004,0.45333333333333337
561,0.0,3.5999999999999996,0.46666666666666673
562,0.0,3.4000000000000004,0.45333333333333337
563,0.0,3.4000000000000004,0.44
564,0.0,3.4000000000000004,0.44
565,0.0,3.4000000000000004,0.44
